"ACCOUNTSOURCE","BILLINGADDRESS","BILLINGCITY","BILLINGCOUNTRY","BILLINGCOUNTRYCODE","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTATECODE","BILLINGSTREET","BUSINESS_NAME__C","CITY_REGISTRATION__C","CITY_SCOPE_TEXT__C","CITY_SCOPE__C","COMMERCIAL_OWNER__C","CONTACT_FIRST_NAME__C","CONTACT_LAST_NAME__C","COUNTRY__C","CREATE_HUB_INVENTORIES__C","CREATE_PLATFORM_EVENT__C","CREATEDBYID","CREATEDDATE","CREDIT_LINE__C","CURRENCYISOCODE","DATE_DRIVEN_NUMBER__C","DEFAULT_DELIVERY_TIME_SETTING__C","DEFAULT_LEAD_TIME__C","DEFAULT_ORDER_CYCLE__C","DESCRIPTION","EMAIL__C","EXTERNAL_ID__C","FINANCE_CONTACT_EMAIL__C","FINANCE_CONTACT_FULL_NAME__C","FINANCE_CONTACT_PHONE__C","ID","INDUSTRY","INFORMATION__C","ISDELETED","ISPARTNER","IS_CONSIGNMENT_VENDOR__C","IS_SPOT_BUY_VENDOR__C","JOKR_CUSTOMER_CODE__C","JOKR_ENTITY__C","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","LOCATION_SCOPE__C","MAIN_PROCUREMENT_CONTACT__C","MASTERRECORDID","MINIMUM_ORDER_AMOUNT__C","MINIMUM_ORDER_CASES__C","MINIMUM_ORDER_UNITS__C","MINIMUM_ORDER_WEIGHT__C","NAME","NET_DAYS_NUMBER__C","NETSUITEID__C","NUMBEROFEMPLOYEES","NUMBER_OF_ACTIVE_LUMP_SUM_PROMOTIONS__C","NUMBER_OF_ACTIVE_MSA__C","NUMBER_OF_ACTIVE_SKU_PROMOTIONS__C","ORDER_CUTOFF_TIME__C","ORDER_ON_FRIDAYS_DEFAULT__C","ORDER_ON_MONDAYS_DEFAULT__C","ORDER_ON_SATURDAYS_DEFAULT__C","ORDER_ON_SUNDAYS_DEFAULT__C","ORDER_ON_THURSDAYS_DEFAULT__C","ORDER_ON_TUESDAYS_DEFAULT__C","ORDER_ON_WEDNESDAYS_DEFAULT__C","OWNERID","PO_FILE_FORMAT__C","PO_RECEPTION_METHOD__C","POS_NUMBERS__C","PARENTID","PARTNER_CODE__C","PAYMENT_TERMS__C","PHONE","PHONE__C","PHOTOURL","PLATFORM_URL__C","PORTAL_URL__C","POSITION_FUNCTION__C","PROCUREMENT_ORG_WIDE_EMAIL_ADDRESS__C","PURCHASE_ORDER_GENERATION_CONFIG__C","RECORDTYPEID","SAFETY_LEAD_TIME__C","SALUTATION__C","SECURE_PARAMETER__C","SHIPPINGADDRESS","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGCOUNTRYCODE","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTATECODE","SHIPPINGSTREET","SICDESC","SPOT_BUY_VENDOR__C","STATE_REGISTRATION__C","STATUS__C","SUPPLIER_PORTAL_URL__C","SYSTEMMODSTAMP","TAX_ID__C","TRANSFER_ORDER_SPLITTING_CONFIG__C","TYPE","WEBSITE"
"","","","United States","US","","","","","","","","#N/A","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:39:20.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZDoIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:39:20.000Z","","","Country-wide","","","1.0","1.0","1.0","","#N/A","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","48211","","","","/services/images/photo/001D400000p7ZDoIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093960","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZDo&amp;SecureParameter=1712093960"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:39:20.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","#N/A","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZGfIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","","Country-wide","","","1.0","1.0","1.0","","#N/A","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","75823","","","","/services/images/photo/001D400000p7ZGfIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093936","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZGf&amp;SecureParameter=1712093936"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:56.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","#N/A","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZGgIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","","Country-wide","","","1.0","1.0","1.0","","#N/A","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","63616","","","","/services/images/photo/001D400000p7ZGgIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093936","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZGg&amp;SecureParameter=1712093936"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:56.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","FLAMING CHICKEN SA DE CV 10MON","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZGhIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","","Country-wide","","","1.0","1.0","1.0","","FLAMING CHICKEN SA DE CV 10MON","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","84209","","","","/services/images/photo/001D400000p7ZGhIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093936","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZGh&amp;SecureParameter=1712093936"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:56.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","PRODUCTOS MEDELLIN 15TIF","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZGiIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:56.000Z","","","Country-wide","","","1.0","1.0","1.0","","PRODUCTOS MEDELLIN 15TIF","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","15606","","","","/services/images/photo/001D400000p7ZGiIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093936","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZGi&amp;SecureParameter=1712093936"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:56.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","VIDEMONT SA CV 10MAN","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHeIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","","Country-wide","","","1.0","1.0","1.0","","VIDEMONT SA CV 10MAN","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","212036","","","","/services/images/photo/001D400000p7ZHeIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093938","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHe&amp;SecureParameter=1712093938"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:58.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","ALIMENTOS SOLES SA DE CV 10TIJ","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHfIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","","Country-wide","","","1.0","1.0","1.0","","ALIMENTOS SOLES SA DE CV 10TIJ","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","48661","","","","/services/images/photo/001D400000p7ZHfIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093938","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHf&amp;SecureParameter=1712093938"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:58.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","#N/A","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHgIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:38:58.000Z","","","Country-wide","","","1.0","1.0","1.0","","#N/A","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","193192","","","","/services/images/photo/001D400000p7ZHgIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093938","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHg&amp;SecureParameter=1712093938"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:38:58.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","#N/A","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHjIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","","Country-wide","","","1.0","1.0","1.0","","#N/A","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","10024","","","","/services/images/photo/001D400000p7ZHjIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093941","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHj&amp;SecureParameter=1712093941"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:39:01.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","CORPORATIVO FOPA SA DE CV 15GPE","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHkIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","","Country-wide","","","1.0","1.0","1.0","","CORPORATIVO FOPA SA DE CV 15GPE","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","67176","","","","/services/images/photo/001D400000p7ZHkIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093941","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHk&amp;SecureParameter=1712093941"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:39:01.000Z","","","Distributor",""
"","","","United States","US","","","","","","","","FRANCISCO JAVIER ARAGON C 10TIJ","","","","005Hp00000igLP3IAM","","","","false","false","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","MXN","","Calendar Days","1.0","Every Week","","","","dmitriy.yavorskiy@icemobile.com","Dmitriy","1234567890","001D400000p7ZHlIAM","","","false","false","false","0.0","","001Hp00002kvRgtIAE","","","","005Hp00000ihVbKIAU","2024-04-02T21:39:01.000Z","","","Country-wide","","","1.0","1.0","1.0","","FRANCISCO JAVIER ARAGON C 10TIJ","","","","0.0","0.0","0.0","","false","false","false","false","false","false","false","005Hp00000ihVbKIAU","","N/A","","","56895","","","","/services/images/photo/001D400000p7ZHlIAM","","","","","","012Hp000001mPmDIAU","0.0","","1712093941","","","United States","US","","","","","","","","","No","","Active","<a href=""https://jokr6.my.site.com/SupplierPortal/s/purchase-orders?supplierId=001D400000p7ZHl&amp;SecureParameter=1712093941"" target=""_blank"">Supplier Portal Link</a>","2024-04-02T21:39:01.000Z","","","Distributor",""
